line_id,file_name,prob_output,accurate
1,K1pe011participant_leg.wav,"{""fan"": 0.0, ""sand"": 1.0446834142025905e-05, ""red"": 0.0, ""leg"": 0.978103720541246}",1
2,K1lt332participant_fan.wav,"{""fan"": 0.9992068523383133, ""sand"": 1.6096702764763713e-06, ""red"": 3.8780987682074115e-07, ""leg"": 0.0}",1
3,K1MW013participant_sand.wav,"{""fan"": 0.0010821919188581954, ""sand"": 0.07759998111663285, ""red"": 0.0008871188202646635, ""leg"": 0.0004229179026246723}",1
4,K1lt158participant_shoe.wav,"{""ramp"": 0.0, ""shoe"": 0.0, ""zoo"": 0.0, ""lamp"": 0.0, ""shoo"": 0.0, ""shue"": 0.0}",0
5,K1xl011participant_chip.wav,"{""chip"": 1.00000000000004, ""ship"": 0.0, ""run"": 0.0, ""one"": 0.0}",1
6,K1lm081participant_rainbow.wav,"{""window"": 0.0, ""fox"": 0.0, ""socks"": 0.0, ""rainbow"": 1.00000000000004}",1
7,K1cb128participant_fan.wav,"{""fan"": 0.0010570096691522376, ""sand"": 0.0004585652472844119, ""red"": 0.0017081761365918546, ""leg"": 0.0015478868517822134}",0
8,K1cb011participant_sun.wav,"{""thumb"": 0.0, ""sun"": 0.0, ""ring"": 0.0, ""wing"": 0.0, ""son"": 1.00000000000004}",1
9,K1mo011participant_ramp.wav,"{""ramp"": 1.00000000000004, ""shoe"": 0.0, ""zoo"": 0.0, ""lamp"": 0.0}",1
10,K1pe113participant_ship.wav,"{""chip"": 0.0, ""ship"": 1.00000000000004, ""run"": 0.0, ""one"": 0.0}",1
11,K1pe055participant_shoe.wav,"{""ramp"": 0.0, ""shoe"": 0.0, ""zoo"": 0.0, ""lamp"": 0.0, ""shoo"": 0.0, ""shue"": 0.0}",0
12,K1cc014participant_wing.wav,"{""wing"": 1.00000000000004, ""ring"": 0.0, ""sun"": 0.0, ""thumb"": 0.0}",1
13,K1so104participant_lamp.wav,"{""ramp"": 0.0, ""shoe"": 0.0, ""zoo"": 0.0, ""lamp"": 0.9160986345300349}",1
14,K1OS013participant_zoo.wav,"{""ramp"": 0.0, ""shoe"": 0.0, ""zoo"": 0.0005481279943960166, ""lamp"": 0.0}",1
15,K1dd092participant_sand.wav,"{""fan"": 0.0, ""sand"": 1.00000000000004, ""red"": 0.0, ""leg"": 0.0}",1
16,K1RRI016participant_lamp.wav,"{""ramp"": 0.0, ""shoe"": 0.0, ""zoo"": 0.0, ""lamp"": 1.00000000000004}",1
17,K1cb024participant_red.wav,"{""fan"": 0.0, ""sand"": 0.0, ""red"": 0.9999950242996611, ""leg"": 3.729163295807659e-08}",1
18,K1so112participant_ring.wav,"{""ring"": 0.00145090143267576, ""wing"": 0.0026973831904301337, ""thumb"": 0.0, ""sun"": 0.0}",0
19,K1pe125participant_sand.wav,"{""fan"": 0.0, ""sand"": 1.00000000000004, ""red"": 0.0, ""leg"": 0.0}",1
20,K1pb023participant_sand.wav,"{""fan"": 0.0, ""sand"": 0.0, ""red"": 0.0, ""leg"": 0.0}",0
21,K1lt045participant_chick.wav,"{""chick"": 1.00000000000004, ""sick"": 0.0, ""rock"": 0.0, ""lock"": 0.0}",1
22,K1pb016participant_ship.wav,"{""chip"": 0.0, ""ship"": 0.0009431146071020447, ""run"": 0.0, ""one"": 0.0010313889188123876}",0
23,K1pe088participant_rainbow.wav,"{""window"": 0.0, ""fox"": 0.0, ""socks"": 0.0, ""rainbow"": 1.00000000000004}",1
24,K1pb016participant_sun.wav,"{""thumb"": 0.0, ""sun"": 1.00000000000004, ""ring"": 0.0, ""wing"": 0.0, ""son"": 0.0}",1
25,K1zz017participant_sun.wav,"{""thumb"": 0.0, ""sun"": 1.00000000000004, ""ring"": 0.0, ""wing"": 0.0, ""son"": 0.0}",1
26,K1pv038participant_lock.wav,"{""chick"": 0.0, ""sick"": 0.0, ""rock"": 0.0, ""lock"": 1.00000000000004, ""loch"": 0.0, ""locke"": 1.999999994411214e-15}",1
27,K1MW013participant_fan.wav,"{""fan"": 1.00000000000004, ""sand"": 0.0, ""red"": 0.0, ""leg"": 0.0}",1
28,K1sc011participant_wing.wav,"{""wing"": 0.0, ""ring"": 0.0, ""sun"": 0.0, ""thumb"": 0.0}",0
29,K1lt214participant_ring.wav,"{""ring"": 0.9995100809035619, ""wing"": 0.000488929043748117, ""thumb"": 0.0, ""sun"": 0.0}",1
30,K1lt247participant_window.wav,"{""window"": 1.00000000000004, ""fox"": 0.0, ""socks"": 0.0, ""rainbow"": 0.0}",1
31,K1so036participant_rock.wav,"{""chick"": 0.0005015908210148915, ""sick"": 0.0, ""rock"": 0.045917648309601315, ""lock"": 0.0026379790875836967}",1
